timestamp_nano,timestamp_iso,symbol,contributors_active,contributors_created,interactions,posts_active,posts_created,sentiment,spam,alt_rank,circulating_supply,close,galaxy_score,high,low,market_cap,market_dominance,open,social_dominance,volume_24h,market_categories
1750968000000000000,2025-06-26T20:00:00.000000000Z,ETHUSDT-LINEAR,13301,607,1606689,23671,884,83,8121,43,120718270,2452.83,66,2452.83,2431.72,296101977907,9.0053,2440.26,8.9542,18077266978,"[""layer-1""]"
1750971600000000000,2025-06-26T21:00:00.000000000Z,ETHUSDT-LINEAR,12956,485,1206051,22998,715,83,7787,155,120718270,2414.44,44,2414.44,2399.53,290884273034,8.829,2414.9119,9.0225,18248781893,"[""layer-1""]"
1750975200000000000,2025-06-26T22:00:00.000000000Z,ETHUSDT-LINEAR,13125,554,1045850,23215,883,83,7752,52,120718270,2416.93,63,2416.93,2413.06,291724050766,8.9202,2414.91,9.2055,17210558084,"[""layer-1""]"
1750978800000000000,2025-06-26T23:00:00.000000000Z,ETHUSDT-LINEAR,12693,337,1031972,22382,468,83,7401,114,120718270,2415.04,43,2415.04,2407.66,291547094716,8.9215,2414.61,9.0781,18300413888,"[""layer-1""]"
1750982400000000000,2025-06-27T00:00:00.000000000Z,ETHUSDT-LINEAR,12007,249,1024318,21320,331,83,7123,138,120718270,2404.16,42,2404.16,2401.4,290244816812,8.886,2404.16,8.6917,15610749822,"[""layer-1""]"
1750986000000000000,2025-06-27T01:00:00.000000000Z,ETHUSDT-LINEAR,11950,300,1115203,20998,437,83,6889,153,120718270,2428.13,56,2428.13,2386.32,293144104787,9.0019,2401.84,8.9837,18401844660,"[""layer-1""]"
1750989600000000000,2025-06-27T02:00:00.000000000Z,ETHUSDT-LINEAR,11858,370,1013086,20643,443,82,6675,191,120718041,2436.78,54,2436.78,2424.8,294030232203,8.9812,2427.47,8.8663,17722266755,"[""layer-1""]"
1750993200000000000,2025-06-27T03:00:00.000000000Z,ETHUSDT-LINEAR,11755,350,1082206,20182,428,83,6308,226,120718041,2446.58,54,2446.58,2434.91,295225347451,8.9992,2439.24,8.7632,15794115006,"[""layer-1""]"
1750996800000000000,2025-06-27T04:00:00.000000000Z,ETHUSDT-LINEAR,11654,397,945503,20178,555,83,6417,203,120718041,2451.0401,53,2451.0974,2442.01,295998226541,9.0049,2447.39,8.9582,16647318463,"[""layer-1""]"
1751000400000000000,2025-06-27T05:00:00.000000000Z,ETHUSDT-LINEAR,11817,355,1316858,20581,651,83,6540,271,120718041,2438.65,37,2438.65,2436.25,294355536714,8.9519,2438.65,8.91,16633231061,"[""layer-1""]"
1751004000000000000,2025-06-27T06:00:00.000000000Z,ETHUSDT-LINEAR,11996,451,1275375,20871,738,83,6613,222,120718041,2447.32,52,2447.32,2438.42,295263553727,9.0043,2439.88,9.1422,16811336542,"[""layer-1""]"
1751007600000000000,2025-06-27T07:00:00.000000000Z,ETHUSDT-LINEAR,12346,385,1245422,21642,582,83,6952,204,120718041,2440.42,38,2440.42,2439.31,294601467605,8.9748,2440.9138,9.3534,15554935723,"[""layer-1""]"
1751011200000000000,2025-06-27T08:00:00.000000000Z,ETHUSDT-LINEAR,12520,485,1237081,22015,748,83,7257,212,120718041,2452.62,53,2452.62,2437.72,296188046601,9.0573,2442.97,9.2306,16979611619,"[""layer-1""]"
1751014800000000000,2025-06-27T09:00:00.000000000Z,ETHUSDT-LINEAR,12317,477,1565029,21434,668,83,6739,169,120718041,2459.32,55,2459.32,2444.32,296775688549,9.0542,2449.34,9.1329,17000334767,"[""layer-1""]"
1751018400000000000,2025-06-27T10:00:00.000000000Z,ETHUSDT-LINEAR,12392,389,1457379,21731,563,82,6876,160,120718041,2450.17,40,2450.17,2447.07,295750284977,9.0154,2450.17,8.9711,16726488568,"[""layer-1""]"
1751022000000000000,2025-06-27T11:00:00.000000000Z,ETHUSDT-LINEAR,12770,552,1524276,22403,756,83,7127,166,120718041,2445.46,40,2445.46,2444.18,295158404295,9.0123,2445.9909,9.0767,16602174744,"[""layer-1""]"
1751025600000000000,2025-06-27T12:00:00.000000000Z,ETHUSDT-LINEAR,12533,593,1574541,21966,818,83,7076,204,120718041,2438.86,41,2438.86,2428.88,294628416160,8.9981,2438.86,8.8795,15002665619,"[""layer-1""]"
1751029200000000000,2025-06-27T13:00:00.000000000Z,ETHUSDT-LINEAR,12744,461,1645793,22318,690,83,7023,349,120718041,2422.82,40,2422.82,2419.32,292751112423,8.9699,2422.82,8.7949,16140254251,"[""layer-1""]"
1751032800000000000,2025-06-27T14:00:00.000000000Z,ETHUSDT-LINEAR,13226,561,1521315,23662,814,83,7755,435,120718041,2425.13,56,2425.13,2416.62,292837050686,8.9602,2425.13,8.836,15978057535,"[""layer-1""]"
1751036400000000000,2025-06-27T15:00:00.000000000Z,ETHUSDT-LINEAR,13483,545,1645043,24055,929,83,7877,180,120718041,2439.21,62,2439.21,2421.19,294246319759,9.0255,2423.61,8.6381,15161784090,"[""layer-1""]"
1751040000000000000,2025-06-27T16:00:00.000000000Z,ETHUSDT-LINEAR,13262,654,1436386,23497,944,83,7531,258,120718041,2438.13,57,2438.13,2434.0,294574334039,8.9689,2438.13,8.8238,15126624046,"[""layer-1""]"
1751043600000000000,2025-06-27T17:00:00.000000000Z,ETHUSDT-LINEAR,13100,560,1482281,23069,877,83,7388,561,120718041,2404.3,40,2404.3,2397.93,290327143069,8.8264,2404.3,8.6723,15519519078,"[""layer-1""]"
1751047200000000000,2025-06-27T18:00:00.000000000Z,ETHUSDT-LINEAR,13145,626,1421396,23053,1034,83,7221,535,120718041,2392.86,40,2392.86,2390.89,288919387961,8.8465,2392.9782,8.8291,15945538708,"[""layer-1""]"
1751050800000000000,2025-06-27T19:00:00.000000000Z,ETHUSDT-LINEAR,13281,495,1173894,23289,722,82,7248,439,120718041,2413.43,56,2413.43,2393.47,291258216579,8.9431,2393.69,8.5703,15107976289,"[""layer-1""]"
1751054400000000000,2025-06-27T20:00:00.000000000Z,ETHUSDT-LINEAR,13237,533,1176440,22860,741,83,7038,370,120718041,2424.98,57,2424.98,2412.96,292733966213,8.9568,2417.33,8.6776,15987026560,"[""layer-1""]"
1751058000000000000,2025-06-27T21:00:00.000000000Z,ETHUSDT-LINEAR,13422,433,1169965,22937,610,83,6429,164,120718041,2423.77,57,2423.3345,2419.25,292489329632,8.9263,2423.3345,8.6915,14576661108,"[""layer-1""]"
1751061600000000000,2025-06-27T22:00:00.000000000Z,ETHUSDT-LINEAR,13307,334,1079261,22909,467,83,6438,253,120718041,2424.0404,61,2424.1483,2421.02,292602144042,8.9235,2422.03,8.8303,15353986973,"[""layer-1""]"
