timestamp_nano,timestamp_iso,symbol,contributors_active,contributors_created,interactions,posts_active,posts_created,sentiment,spam,alt_rank,circulating_supply,close,galaxy_score,high,low,market_cap,market_dominance,open,social_dominance,volume_24h,market_categories
1738533600000000000,2025-02-02T22:00:00.000000000Z,SOLUSDT-LINEAR,9690,226,2046676,19179,412,83,7357,111,486978126,203.25,70,203.25,195.45,99326250608,3.0788,201.81,10.642,7930177681,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738537200000000000,2025-02-02T23:00:00.000000000Z,SOLUSDT-LINEAR,9400,220,1849615,18480,338,82,7046,130,486977004,201.89,70,201.89,196.94,97683755035,3.0223,200.58,10.4446,8432593480,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738540800000000000,2025-02-03T00:00:00.000000000Z,SOLUSDT-LINEAR,9297,203,1917976,18446,380,83,7091,164,486975557,199.57,71,199.27,193.72,97682478219,3.0176,199.27,10.7893,9150934370,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738544400000000000,2025-02-03T01:00:00.000000000Z,SOLUSDT-LINEAR,9324,229,1984414,18314,443,83,6969,255,486973213,193.12,70,193.12,182.09,94260182109,2.9394,193.12,10.638,10547838111,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738548000000000000,2025-02-03T02:00:00.000000000Z,SOLUSDT-LINEAR,9297,304,2114703,18319,481,82,7102,154,486972583,187.38799,71,187.75,180.41,91256793108,3.0357,184.07,10.5862,12439771195,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738551600000000000,2025-02-03T03:00:00.000000000Z,SOLUSDT-LINEAR,9590,224,1951795,18855,390,82,7340,80,486971132,194.7,71,194.7,187.23,94858331132,3.1627,187.51,10.6023,13033358684,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738555200000000000,2025-02-03T04:00:00.000000000Z,SOLUSDT-LINEAR,9370,239,1784603,18505,427,82,7214,95,486969139,191.91,71,191.91,190.54,93522888353,3.0715,191.91,10.7889,13179587952,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738558800000000000,2025-02-03T05:00:00.000000000Z,SOLUSDT-LINEAR,9255,237,2064502,18414,410,82,7364,80,486967732,195.26,71,195.26,190.28,95121228271,3.1794,190.54,10.8437,13497471993,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738562400000000000,2025-02-03T06:00:00.000000000Z,SOLUSDT-LINEAR,9284,290,1734146,18483,625,80,7452,79,486966705,194.72,72,194.72,194.29,95364504263,3.1211,194.72,10.857,13677266258,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738566000000000000,2025-02-03T07:00:00.000000000Z,SOLUSDT-LINEAR,9415,270,1616315,18774,421,81,7494,43,486966475,197.68,72,197.68,195.4,96134970530,3.14,195.4,11.0372,13966464781,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738569600000000000,2025-02-03T08:00:00.000000000Z,SOLUSDT-LINEAR,9536,286,2348727,18955,432,78,7621,133,486965291,194.23,72,194.23,193.85,94599117876,3.0266,194.23,10.9789,14018341658,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738573200000000000,2025-02-03T09:00:00.000000000Z,SOLUSDT-LINEAR,9766,291,1618218,19444,404,82,7773,178,486965204,196.99,71,196.99,194.46,95953287778,3.093,195.22,11.0689,14226245596,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738576800000000000,2025-02-03T10:00:00.000000000Z,SOLUSDT-LINEAR,9640,294,1935930,19007,439,82,7520,69,486964865,200.22,72,200.22,194.5,97501677504,3.1388,194.81,11.0569,14554711078,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738580400000000000,2025-02-03T11:00:00.000000000Z,SOLUSDT-LINEAR,9813,300,1814294,19361,415,81,7649,67,486964742,199.47,72,199.47,198.44,97318792350,3.1045,199.47,11.1864,14599005495,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738584000000000000,2025-02-03T12:00:00.000000000Z,SOLUSDT-LINEAR,9738,311,1918132,18950,454,83,7433,80,486964463,197.01,72,197.01,195.39,95990507740,3.089,197.01,10.9128,14682171543,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738587600000000000,2025-02-03T13:00:00.000000000Z,SOLUSDT-LINEAR,9811,303,1904662,19219,528,82,7629,25,486964325,194.44665,72,194.49,193.94,94938618363,3.0659,194.49,10.8845,14749175162,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738591200000000000,2025-02-03T14:00:00.000000000Z,SOLUSDT-LINEAR,10002,362,2074135,19628,511,82,7776,107,486963953,197.74,71,197.22,190.41,96436210481,3.1214,194.53,10.8895,15528202998,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738594800000000000,2025-02-03T15:00:00.000000000Z,SOLUSDT-LINEAR,10167,386,2027265,20080,570,82,7869,75,486963710,205.72,71,205.72,197.76,99504339476,3.1633,197.76,10.7104,16742211393,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738598400000000000,2025-02-03T16:00:00.000000000Z,SOLUSDT-LINEAR,10222,366,2050736,20103,497,83,7836,181,486963007,208.78032,71,208.42,205.01,101482360101,3.1282,207.6,10.6296,16989353811,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738602000000000000,2025-02-03T17:00:00.000000000Z,SOLUSDT-LINEAR,10180,376,2085556,20179,563,83,7833,67,486962692,207.9397,71,207.33,206.23,100963982390,3.1126,207.33,10.7163,16669235006,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738605600000000000,2025-02-03T18:00:00.000000000Z,SOLUSDT-LINEAR,10206,359,2112053,20171,635,82,7729,1,486961928,211.3,71,211.3,206.14,102853407689,3.158,207.53,10.6916,16374710389,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738609200000000000,2025-02-03T19:00:00.000000000Z,SOLUSDT-LINEAR,10019,378,1953736,19724,585,83,7643,105,486961541,213.77,71,213.77,212.21,104406692013,3.1817,212.23,10.5921,16033678340,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738612800000000000,2025-02-03T20:00:00.000000000Z,SOLUSDT-LINEAR,10069,312,1861988,19808,531,83,7707,6,486960551,211.5424,71,211.74,211.41,103081095611,3.0839,211.74,10.3677,16001482809,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738616400000000000,2025-02-03T21:00:00.000000000Z,SOLUSDT-LINEAR,9978,296,1864934,19611,512,82,7570,105,486960118,214.09,71,214.09,210.73,103752749224,3.1424,211.54,10.2392,15967747416,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738620000000000000,2025-02-03T22:00:00.000000000Z,SOLUSDT-LINEAR,9966,305,1806132,19782,507,82,7627,113,486959242,216.55,71,216.55,216.05,105853273767,3.1624,216.55,10.6496,15767651327,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738623600000000000,2025-02-03T23:00:00.000000000Z,SOLUSDT-LINEAR,9777,316,1799210,19342,473,82,7335,181,486958866,216.25004,71,216.38,216.05,105288054530,3.137,216.38,10.4763,15260840772,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738627200000000000,2025-02-04T00:00:00.000000000Z,SOLUSDT-LINEAR,9590,253,1714658,19003,430,82,7308,90,486957902,217.01,71,217.01,215.72,105781573261,3.1604,216.15,10.5436,14422016741,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738630800000000000,2025-02-04T01:00:00.000000000Z,SOLUSDT-LINEAR,9416,218,1538548,18579,433,82,7141,125,486957560,216.96,71,216.96,215.57,105607133687,3.1692,215.72,10.5795,12921425922,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738634400000000000,2025-02-04T02:00:00.000000000Z,SOLUSDT-LINEAR,9404,236,1597312,18574,480,83,7201,368,486956703,217.6,71,217.6,216.42,106023503831,3.1699,217.6,10.4935,10996698441,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738638000000000000,2025-02-04T03:00:00.000000000Z,SOLUSDT-LINEAR,9191,180,1575688,18257,356,83,7192,474,486956467,215.66216,70,215.75,214.4,105220206121,3.1694,215.75,10.5285,10235097124,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738641600000000000,2025-02-04T04:00:00.000000000Z,SOLUSDT-LINEAR,9115,217,1598669,18296,471,84,7329,3,486955847,214.69,70,214.69,213.05,104515933811,3.1556,214.69,10.7846,9873298167,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738645200000000000,2025-02-04T05:00:00.000000000Z,SOLUSDT-LINEAR,9196,184,1566055,18368,520,84,7531,727,486955597,207.9,70,207.9,202.88,101237403240,3.0744,207.9,10.6913,9966729993,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738648800000000000,2025-02-04T06:00:00.000000000Z,SOLUSDT-LINEAR,9148,226,1527326,18415,383,83,7748,23,486955117,205.67,70,205.67,204.26,100166673127,3.1067,204.27,10.4954,9874024983,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738652400000000000,2025-02-04T07:00:00.000000000Z,SOLUSDT-LINEAR,9095,241,1547618,18452,414,83,7682,4,486954958,207.19,70,207.19,204.24,100896745077,3.1096,206.39,10.6157,9752745477,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738656000000000000,2025-02-04T08:00:00.000000000Z,SOLUSDT-LINEAR,9221,290,1726933,18594,474,84,7744,269,487073374,203.57052,70,203.82,203.0,99380949381,3.0992,203.82,10.6889,9600297711,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738659600000000000,2025-02-04T09:00:00.000000000Z,SOLUSDT-LINEAR,9296,257,1552294,18606,428,83,7762,149,487073249,204.88,70,204.92,203.55,99794607946,3.115,203.58,10.6126,9443214249,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738663200000000000,2025-02-04T10:00:00.000000000Z,SOLUSDT-LINEAR,9338,351,1716737,18668,504,84,7631,292,487073057,207.91,70,207.91,204.79,101180541831,3.1533,204.88,10.6928,9330803363,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738666800000000000,2025-02-04T11:00:00.000000000Z,SOLUSDT-LINEAR,9583,280,1780008,19065,489,84,7892,2,487072761,209.88,69,209.88,207.8,102265703758,3.1584,208.03,10.7036,9194098787,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738670400000000000,2025-02-04T12:00:00.000000000Z,SOLUSDT-LINEAR,9589,346,2016032,19106,524,84,7936,190,487072605,209.77,70,209.77,207.99,102266792129,3.1501,208.12,10.8146,9081479244,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738674000000000000,2025-02-04T13:00:00.000000000Z,SOLUSDT-LINEAR,9781,379,2006331,19618,563,84,8103,109,487072178,212.3,69,212.3,210.47,103449233263,3.1624,211.35,10.8571,9031387078,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738677600000000000,2025-02-04T14:00:00.000000000Z,SOLUSDT-LINEAR,10160,379,2129183,20543,559,84,8457,194,487071930,211.3,70,211.3,210.04,102887282075,3.1588,210.49,10.7217,8544716108,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738681200000000000,2025-02-04T15:00:00.000000000Z,SOLUSDT-LINEAR,10307,349,2309748,20857,516,84,8490,145,487070515,214.25,70,214.25,210.69,104248720267,3.1674,214.25,10.5693,7835011645,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738684800000000000,2025-02-04T16:00:00.000000000Z,SOLUSDT-LINEAR,10581,392,2167246,21306,616,84,8551,125,487069997,216.88,70,216.88,215.08,105706869798,3.2345,216.49,10.4601,7548851835,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738688400000000000,2025-02-04T17:00:00.000000000Z,SOLUSDT-LINEAR,10473,431,2155866,21181,701,84,8593,157,487067120,213.89621,71,213.94,212.71,104244034760,3.1963,213.94,10.6081,7436023565,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738692000000000000,2025-02-04T18:00:00.000000000Z,SOLUSDT-LINEAR,10624,465,2333004,21283,836,84,8563,10,487066044,213.42,71,213.42,212.17,103889285655,3.1796,213.42,10.6148,7217475942,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1738695600000000000,2025-02-04T19:00:00.000000000Z,SOLUSDT-LINEAR,10285,382,2381829,20829,722,84,8424,275,487065658,218.24,71,218.24,211.84,106083316794,3.2358,214.21,10.677,7168525981,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
